DATE,UNRATE,CPI,SPY,VIX,OIL
1/31/10,9.8,91.67317112,89.47065454,20.64315776,78.40263166
2/28/10,9.9,91.70354869,86.88046104,22.54000001,76.4526319
3/31/10,9.9,91.72464422,92.05408577,17.76739129,81.28999992
4/30/10,9.6,91.67696832,95.78364817,17.42428566,84.57523746
5/31/10,9.4,91.63857445,90.14490662,31.92950001,74.11750145
6/30/10,9.4,91.80987018,86.99978118,29.91636372,75.40454587
7/31/10,9.5,91.94403777,86.80184137,25.56523786,76.38285755
8/31/10,9.5,92.09255032,87.57228019,24.745909,76.66681706
9/30/10,9.4,92.41320243,90.54463123,22.517619,75.54857091
10/31/10,9.8,92.64736285,94.63630422,20.37333325,81.97476233
11/30/10,9.3,93.01948805,97.04583702,19.98950014,84.34249954
12/31/10,9.1,93.32115418,100.6540781,17.56954553,89.23318169
1/31/11,9,93.62113266,104.1011501,17.31549988,89.57850037
2/28/11,9,94.1054861,107.3726835,17.4299999,89.74315764
3/31/11,9.1,94.54722657,106.2255664,20.72347815,102.9813047
4/30/11,9,94.84804887,108.5661259,16.24400001,110.0385006
5/31/11,9.1,94.84804887,109.2840594,16.91142859,101.3566666
6/30/11,9,95.09655426,105.34758,19.15318203,96.28863664
7/31/11,9,95.39653274,108.6042824,19.22749991,97.34049988
8/31/11,9,95.60369087,97.3015903,35.02913036,86.34086974
9/30/11,8.8,95.66824321,96.58183289,36.52999978,85.60999916
10/31/11,8.6,95.84502377,99.47760664,32.8290477,86.42809514
11/30/11,8.5,95.86780695,101.5173775,31.81549988,97.18250008
12/31/11,8.3,96.12896965,102.8320334,25.04761905,98.57571338
1/31/12,8.3,96.33444015,107.7675327,20.22799988,100.318499
2/29/12,8.2,96.53611344,112.2428108,18.42049999,102.2624996
3/31/12,8.2,96.6964395,115.5078579,16.16727287,106.2049994
4/30/12,8.2,96.49645384,115.4273937,17.82299991,103.3460003
5/31/12,8.2,96.41671273,111.8676328,21.00181814,94.71590978
6/30/12,8.2,96.44455883,110.6046346,21.13095229,82.4052382
7/31/12,8.1,97.00485619,113.7387753,17.6105001,87.94500008
8/31/12,7.8,97.46769219,117.704826,15.68956512,94.1608701
9/30/12,7.8,97.73054253,121.2814881,15.28473683,94.55842189
10/31/12,7.7,97.56641929,120.9689916,16.27619058,89.94809541
11/30/12,7.9,97.55460579,117.491732,16.78000007,86.65499916
12/31/12,8,97.74784087,120.1696135,17.27894718,88.22631595
